objectID,title,department,objectDate,culture,medium,classification,artistDisplayName,country,period,objectBeginDate,objectEndDate
493694,Street in Helgoland II,Modern and Contemporary Art,1924,,Oil on board with painted frame,Paintings,Arthur Segal,,,1924,1924
67582,Piece,Asian Art,18th–19th century,Japan,Silk,Textiles-Woven,,,,1700,1899
15287,Portrait of a Gentleman,The American Wing,1800–1805,American,Watercolor on ivory,,,,,1800,1805
665833,"Ein new Modelbuch..., page 4 (recto)",Drawings and Prints,"October 22, 1524",,Woodcut,Books,Johann Schönsperger the Younger,,,1524,1524
243930,Chlorite miniature jar,Greek and Roman Art,ca. 1600–1050 BCE,Cypriot,Chlorite,Miscellaneous-Stone Vases,,,Late Bronze Age,-1600,-1050
221484,Rose and Lily,European Sculpture and Decorative Arts,1893,,Silk and wool,Textiles-Woven,John Henry Dearle,,,1893,1893
206414,Snuffbox,European Sculpture and Decorative Arts,1764–65,,Gold,Metalwork-Gold and Platinum,Louis-Philippe Demay,,,1764,1765
91225,Shirt,Costume Institute,ca. 1972,French,cotton,,Yves Saint Laurent,,,1967,1977
659850,"John Tyler, Tenth President of the United States, Born April 29th, 1790–Succeeded to the Presidential Chair at the death of President Harrison, April 4th, 1841–Retired March 4th, 1845",Drawings and Prints,after 1845,,Hand-colored lithograph,Prints,E. B. & E. C. Kellogg,,,1845,1845
62434,Arrowhead,Asian Art,,Japan,"Sandstone, chert or flint",Stone,,,Late Jōmon period (ca. 1500–1000 BCE),-1500,-1000
559461,"Pall tie, Wah",Egyptian Art,ca. 1981–1975 B.C.,,Linen,,,Egypt,Middle Kingdom,-1981,-1975
661794,"Corona delle Nobili et Virtuose Donne: Libro I-IV, page 5 (recto)",Drawings and Prints,1601,,Woodcut,Books,Cesare Vecellio,Italy,,1601,1601
823932,"Horse Accomplishments, Sketch 11: A Land Measurer !!",Drawings and Prints,"August 1, 1799",,Etching and aquatint,Prints,Thomas Rowlandson,,,1799,1799
423689,The Drama [Cigarette] (Die Drama),Drawings and Prints,1912,,Color lithograph,Prints,Moriz Jung,,,1912,1912
52324,Dish,Asian Art,1760,Japan,"White porcelain decorated with blue under the glaze, polychrome enamels (Nabeshima ware)",Ceramics,,,Edo period (1615–1868),1760,1760
459993,"Woman Combing Her Hair (Femme se coiffant), from ""L'Estampe Originale""",Drawings and Prints,1894,,Transfer lithograph on chine collé,Prints,Maximilien Luce,,,1894,1894
354549,Old T-Wharf from Harbor,Drawings and Prints,ca. 1911–55,,Etching with drypoint,Prints,Sears Gallagher,,,1911,1955
17238,Photograph of a window,The American Wing,late 19th–early 20th century,American,Photograph with watercolor added,,Louis C. Tiffany,United States,,1870,1930
19752,Statement,The American Wing,1927,American,"Testimonial: graphite on paper; Photograph on paper, mounted on paper backing printed with brown double-line border.",,Thomas Moran,,,1927,1927
56976,The Actor Ichikawa Monosuke II in an Unidentified Female Role,Asian Art,ca. 1789,Japan,Woodblock print; ink and color on paper,Prints,Katsukawa Shun'ei 勝川春英,,Edo period (1615–1868),1779,1799
203926,Cleopatra,European Sculpture and Decorative Arts,first quarter 16th century,,Bronze,Sculpture-Bronze,Severo Calzetta da Ravenna,,,1500,1525
214904,Fragment,European Sculpture and Decorative Arts,17th century,,Bobbin lace,Textiles-Laces,,,,1600,1699
398627,Designs for Plates Taken from Oudry's Illustrations to La Fontaine's Fables,Drawings and Prints,after 1755,,Etching,Prints,Jean-Baptiste Oudry,,,1755,1790
467349,Glass Fragment,Medieval Art,13th century,European,"Colored glass, silver stain, and vitreous paint",Glass-Stained,,,,1200,1299
13339,George William Fairfax,The American Wing,1816,American,Watercolor on ivory,,Joseph Wood,,,1816,1816
436149,"Madame Théodore Gobillard (Yves Morisot, 1838–1893)",European Paintings,1869,,Oil on canvas,Paintings,Edgar Degas,,,1869,1869
192764,Folding armchair,European Sculpture and Decorative Arts,second half 16th century,,Walnut,Woodwork-Furniture,,,,1550,1599
640567,"Bust of a young man with a hat, bound in L'Oeuvre original de Vivant Denon. Collection de eaux-fortes, Volume 1",Drawings and Prints,1873,,Lithograph,Books,Baron Dominique Vivant Denon,France,,1873,1873
546576,Sealing,Egyptian Art,ca. 2030–1640 B.C.,,Clay (unfired),,,Egypt,Middle Kingdom,-2030,-1640
626995,"Shaft, capital and entablature of the Corinthian order and eight consoles, plate 9, from Das ander Buech Gemacht auff die zway Colonnen, Corinthia und Composita",Drawings and Prints,,,Etching,Prints,Hans Vredeman de Vries,Belgium,,1565,1581
423465,Copy of a Horizontal Panel with Tendrils Growing Outwards from a Vessel at Center,Drawings and Prints,after 1521,,Engraving,Prints,Jacob Binck,,,1521,1600
352395,Kabuki juhachi ban ko (Study of eighteen representative Kabuki plays),Drawings and Prints,1917,,,Books,Kaneko Saburo,,,1917,1917
204505,Standing Hercules,European Sculpture and Decorative Arts,19th century,,"Bronze, silvering (eyes and wreath)",Sculpture-Bronze,,,,1785,1799
369617,The Celestial Art,Drawings and Prints,1894,,Lithograph,Prints,Odilon Redon,,,1894,1894
457130,Coin,Islamic Art,967–78 CE,,Silver,Coins,,,,942,1003
245830,Carnelian intaglio with inscriptions,Greek and Roman Art,17th century,Post Classical,Carnelian,Gems,,,,1600,1699
726292,"Studio d'Arts Décoratifs..., Pl. 1, Dix Modèles de Mouchoirs d’une grande variété de dessins et de couleurs",Drawings and Prints,n.d. (1930s?),,Pochoir,Books,Nicolas Sorokine,France,,1920,1940
781139,"Congress Hall Parlor, Saratoga, New York",Photographs,1860s–80s,,Albumen silver print,Photographs,Unknown,,,1860,1889
3616,Hobnail Finger Bowl,The American Wing,after 1886,American,Pressed colorless and opaque cranberry glass,,"Hobbs, Brockunier and Company",United States,,1887,1896
683853,Terracotta rim fragment of a kylix (drinking cup),Greek and Roman Art,490–480 BCE,"Greek, Attic",Terracotta,Vases,,,Late Archaic,-500,-450
726781,"Page from ""Symbola Divina et Humana Pontificum, Imperatorum, Regum"", Vol. 1",Drawings and Prints,1601,,Engraving,Prints,Aegidius Sadeler II,,,1601,1601
120470,Evening fan,Costume Institute,1950s,American or European,"plastic, cotton",,,,,1950,1959
591056,"Worker Shabti of Henettawy (C), Daughter of Isetemkheb",Egyptian Art,ca. 990–970 B.C.,,Faience,,,Egypt,Third Intermediate Period,-990,-970
352113,Ferdinand de Neufville de Villeroy,Drawings and Prints,ca. 1664,,Engraving; first state of nine (Petitjean & Wickert),Prints,Robert Nanteuil,,,1659,1669
285514,"[Mangroves, Florida]",Photographs,1941,,Film negative,Negatives,Walker Evans,,,1941,1941
245658,Glass double cosmetic flask (kohl tube),Greek and Roman Art,4th–5th century CE,Roman,Glass,Glass,,,Late Imperial,300,499
110107,Loafers,Costume Institute,ca. 1972,Italian,"leather, metal, wool",,Gucci,,,1967,1977
204834,Charity or Maternity,European Sculpture and Decorative Arts,"19th century, after a model of ca. 1877",,Bronze,Sculpture-Bronze,Aimé-Jules Dalou,,,1872,1899
686913,Terracotta fragment of a kylix (drinking cup),Greek and Roman Art,second quarter of the 5th century BCE,"Greek, Attic",Terracotta,Vases,,,Classical,-500,-450
282765,Landscape III,Photographs,1996,,Chromogenic print,Photographs,Siegrun Appelt,,,1996,1996
64250,"Ear Ornament, Kala and Flames",Asian Art,8th–12th century,Indonesia (Central Java),Gold,Jewelry,,,,700,1199
56580,Three-Legged Tub,Asian Art,,Japan,Lacquer (Negoro-nuri ware),Lacquer,,,Nanbokuchō (1336–92)–Muromachi (1392–1573) period,1336,1573
326930,Earrings,Ancient West Asian Art,2nd–1st millennium BCE (?),Iran,Electrum,,,,Late Bronze Age,-2000,-1
59413,Netsuke,Asian Art,18th century,Japan,Wood,Netsuke,,,Edo period (1615–1868),1700,1799
313248,Pendant,The Michael C. Rockefeller Wing,1st–8th century,Mezcala,Stone,Stone-Ornaments,,Mexico,,1,800
765676,Scene from War Paint from Western Stars or Scenes Exhibit Cards series (W412),Drawings and Prints,ca. 1926,,Commercial color photolithograph,Prints,,,,1921,1931
290401,"Katherine Graham, Chairman of the Board, Washington Post Company, Washington, D.C., March 11, 1976",Photographs,1976,,Gelatin silver print,Photographs,Richard Avedon,,,1976,1976
