objectID,title,artistDisplayName,objectDate,department,medium,primaryImageSmall,objectURL
39092,Bodhisattva  Avaolkiteshvara,,second half of the 7th–early 8th century,Asian Art,Copper alloy,https://images.metmuseum.org/CRDImages/as/web-large/LK.1987.145_DP301229r1_25AA.jpg,https://www.metmuseum.org/art/collection/search/39092
310552,Incense burner with feline head,Tiwanaku artist(s),500–1000 CE,The Michael C. Rockefeller Wing,"Ceramic, slip",https://images.metmuseum.org/CRDImages/ao/web-large/DP-23892-001.jpg,https://www.metmuseum.org/art/collection/search/310552
570719,Cat with image of Bastet on breast,,664–30 B.C.,Egyptian Art,Cupreous metal,https://images.metmuseum.org/CRDImages/eg/web-large/LC-04_2_471_EGDP031182.jpg,https://www.metmuseum.org/art/collection/search/570719
436545,Manuel Osorio Manrique de Zuñiga (1784–1792),Goya (Francisco de Goya y Lucientes),1787–88,European Paintings,Oil on canvas,https://images.metmuseum.org/CRDImages/ep/web-large/DP287624.jpg,https://www.metmuseum.org/art/collection/search/436545
551786,"Book of the Dead of the Priest of Horus, Imhotep (Imuthes)",,ca. 332–200 B.C.,Egyptian Art,"Papyrus, ink",https://images.metmuseum.org/CRDImages/eg/web-large/2-35.9.20a–w_EGDP014589-4594.jpg,https://www.metmuseum.org/art/collection/search/551786
729644,"In proof of true love, a watercarrier skeleton arguing with a woman (Posada); two skeleton angels in upper corners (Manilla)",José Guadalupe Posada,ca. 1890–96,Drawings and Prints,Type-metal engraving and letterpress,https://images.metmuseum.org/CRDImages/dp/web-large/DP865112.jpg,https://www.metmuseum.org/art/collection/search/729644
53002,"Shino Tea Bowl with Bridge and Shrine, Known as “Bridge of the Gods” (Shinkyō)",,late 16th–early 17th century,Asian Art,"Stoneware with iron oxide under glaze (Mino ware, Shino type)",https://images.metmuseum.org/CRDImages/as/web-large/LC-2015_300_271_001.jpg,https://www.metmuseum.org/art/collection/search/53002
472562,The Fieschi Morgan Staurotheke,,early 9th century,Medieval Art,"Gilded silver, gold, enamel worked in cloisonné, and niello",https://images.metmuseum.org/CRDImages/md/web-large/DT119.jpg,https://www.metmuseum.org/art/collection/search/472562
329077,Head of a ruler,,ca. 2300–2000 BCE,Ancient West Asian Art,Copper alloy,https://images.metmuseum.org/CRDImages/an/web-large/DP-23662-001.jpg,https://www.metmuseum.org/art/collection/search/329077
824771,Marie Antoinette in a Park,Elisabeth Louise Vigée Le Brun,ca. 1780–81,Drawings and Prints,"Black chalk, stumped, and white chalk; framing lines in black chalk",https://images.metmuseum.org/CRDImages/dp/web-large/DP-18368-001.jpg,https://www.metmuseum.org/art/collection/search/824771
53222,Musk Cat,Uto Gyoshi,mid- to late 16th century,Asian Art,Hanging scroll; ink and color on paper,https://images.metmuseum.org/CRDImages/as/web-large/DP361166.jpg,https://www.metmuseum.org/art/collection/search/53222
53660,Ten Verses on Oxherding,,1278,Asian Art,Handscroll; ink and color on paper,https://images.metmuseum.org/CRDImages/as/web-large/2015_300_10_Burke_website.jpg,https://www.metmuseum.org/art/collection/search/53660
435853,The Coronation of the Virgin,Annibale Carracci,after 1595,European Paintings,Oil on canvas,https://images.metmuseum.org/CRDImages/ep/web-large/DP-27033-001.jpg,https://www.metmuseum.org/art/collection/search/435853
